CusID,LastPurchased,Total Revenue,Ticket,Ticket Size,1/12/2020,2/12/2020,3/12/2020,4/12/2020,5/12/2020,6/12/2020,7/12/2020,8/12/2020,9/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,13/1/2021,14/1/2021,15/1/2021,16/1/2021,17/1/2021,18/1/2021,19/1/2021,20/1/2021,21/1/2021,22/1/2021,23/1/2021,24/1/2021,25/1/2021,26/1/2021,27/1/2021,28/1/2021,29/1/2021,30/1/2021,31/1/2021,1/2/2021,2/2/2021,3/2/2021,4/2/2021,5/2/2021,6/2/2021,7/2/2021,8/2/2021,9/2/2021,10/2/2021,11/2/2021,12/2/2021,13/2/2021,14/2/2021,15/2/2021,16/2/2021,17/2/2021,18/2/2021,19/2/2021,20/2/2021,21/2/2021,22/2/2021,23/2/2021,24/2/2021,25/2/2021,26/2/2021,27/2/2021,28/2/2021,1/3/2021,2/3/2021,3/3/2021,4/3/2021,5/3/2021,6/3/2021,7/3/2021,8/3/2021,9/3/2021,10/3/2021,11/3/2021,12/3/2021,13/3/2021,14/3/2021,15/3/2021,16/3/2021,17/3/2021,18/3/2021,19/3/2021,20/3/2021,21/3/2021,22/3/2021,23/3/2021,24/3/2021,25/3/2021,26/3/2021,27/3/2021,28/3/2021,29/3/2021,30/3/2021,31/3/2021,1/4/2021,2/4/2021,3/4/2021,4/4/2021,5/4/2021,6/4/2021,7/4/2021,8/4/2021,9/4/2021,10/4/2021,11/4/2021
1003614,5/4/2021,4839.88,3,1613.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316.53,,,,,,
1004276,14/3/2021,759.80,6,126.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.04,,,,,70.09,,,,,,,,,,,,120.56,,,,,,,,,,,,,,,,,,,,,,,,,293.45,,16.82,,,,,,,,,,30.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004410,28/12/2020,1351.40,1,1351.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005222,15/2/2021,42.06,1,42.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005343,23/3/2021,1085.04,1,1085.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085.04,,,,,,,,,,,,,,,,,,,
1005957,12/12/2020,590.66,4,147.67,,,,,356.08,,,124.30,,,,110.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005971,9/4/2021,217.76,3,72.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.76,,
1005976,8/1/2021,1101.87,2,550.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005979,10/4/2021,106397.62,18,5910.98,,9226.19,,,,,,,,,,905.61,,,,,11244.38,,1551.40,,,,,6058.86,,1829.91,,,,,,,,,13357.39,,,,,,,,4454.20,,,,,,,,,,5637.42,,,,,,,2945.81,,,,,,,,,,10439.72,,,,,,,6385.99,,,,,,,,6059.83,,,,,,,,,,,,,6193.44,,,,,,,,,,,,,,,,,,,4324.31,,,,,,,,,,,,11463.53,,4319.63,
1006090,8/4/2021,2329.91,4,582.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.19,,,400.00,,,
1006097,15/12/2020,6602.80,1,6602.80,,,,,,,,,,,,,,,6602.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006115,4/4/2021,2238.31,3,746.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.08,,,,,,,,,,,,,,,,,,,773.83,,,,,,,,,,,,,,,551.40,,,,,,,
1006204,12/1/2021,180.38,2,90.19,,,,,,,,,,,,,,,,,148.60,,,,,,,,,,,,,,,,,,,,,,,,,,31.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006248,6/2/2021,204.67,1,204.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006254,12/1/2021,372.90,1,372.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006310,31/1/2021,129.91,1,129.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006478,17/3/2021,5004.57,3,1668.19,,,,,,,306.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.40,,3576.63,,,,,,,,,,,,,,,,,,,,,,,,,
1006480,11/4/2021,2546.74,11,231.52,,,,,,,,71.03,,,,594.39,,,,,,,,,,,,,,,,,,,,,101.87,,,,,,72.90,,,,,,,,,,,,,11.22,45.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.12,,,,,,,,875.70,,,,,201.87,,,87.85
1006541,7/2/2021,533.31,3,177.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.18,,,,,,,,,,,,48.60,,,,,,,,,,,,,,,,,,,,,,,,187.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006643,4/4/2021,17.76,1,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.76,,,,,,,
1006645,11/4/2021,5519.23,17,324.66,,,,,,,,,,,,,,,,,,,,,,,,72.89,,,,,,1261.28,,,,51.41,,,,110.28,,28.04,746.73,344.86,,83.18,,,,,,,,,,,,,,,,,,738.32,,,,,,,,,,,,,,,126.17,,,728.97,,,,,,,,,,,,,255.16,,,,,,,,,,,74.76,,,325.24,,,,,,,,,,,,,,,,162.61,,,316.81,,,,,,92.52
1006683,1/4/2021,8757.01,2,4378.51,,,,,,,,,,,,,,,,,,,,8401.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.14,,,,,,,,,,
1006688,10/2/2021,92.52,1,92.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006787,3/3/2021,10532.70,5,2106.54,,,,,,,,,,,,,,,,,,7630.84,,,,,,,,,,653.27,,902.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.86,,500.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006799,2/3/2021,34.58,2,17.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006945,15/3/2021,10.28,1,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006953,10/2/2021,1021.49,4,255.37,,,,,,,,,,,,,,,,,,,,,36.45,,,,,,,,,,,,,,,,,92.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.97,,,,,,763.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006974,21/3/2021,6031.78,3,2010.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5873.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.67,,,,,,53.28,,,,,,,,,,,,,,,,,,,,,
